Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastEditorUserId,LastEditDate,LastActivityDate,CommentCount,FavoriteCount,ParentId,OwnerDisplayName
44,2,,2013-05-08 20:42:30.800,1,,140,140,2013-05-08 23:44:16.400,2013-05-08 23:44:16.400,1,,29,
45,2,,2013-05-08 20:43:53.523,22,,142,,,2013-05-08 20:43:53.523,1,,42,
49,2,,2013-05-08 20:48:47.127,4,,142,142,2013-11-13 01:28:07.120,2013-11-13 01:28:07.120,0,,24,
50,2,,2013-05-08 20:50:06.737,20,,133,,,2013-05-08 20:50:06.737,0,,42,
51,2,,2013-05-08 20:52:30.293,3,,147,147,2013-05-08 21:03:28.617,2013-05-08 21:03:28.617,0,,11,
53,2,,2013-05-08 20:59:18.177,2,,142,142,2013-05-13 00:53:41.770,2013-05-13 00:53:41.770,3,,26,
55,2,,2013-05-08 21:13:05.913,3,,7,,,2013-05-08 21:13:05.913,0,,52,
62,2,,2013-05-08 21:17:22.500,14,,153,7,2013-05-09 13:39:30.597,2013-05-09 13:39:30.597,0,,52,
65,2,,2013-05-08 21:19:36.247,5,,153,,,2013-05-08 21:19:36.247,0,,9,
70,2,,2013-05-08 21:22:04.633,6,,26,,,2013-05-08 21:22:04.633,0,,29,
71,2,,2013-05-08 21:28:38.807,13,,7,,,2013-05-08 21:28:38.807,6,,40,
72,2,,2013-05-08 21:29:08.277,3,,26,,,2013-05-08 21:29:08.277,1,,48,
73,2,,2013-05-08 21:33:01.653,4,,152,613,2013-12-07 23:02:21.257,2013-12-07 23:02:21.257,0,,46,
74,2,,2013-05-08 21:34:14.880,5,,26,90,2017-06-16 02:36:27.833,2017-06-16 02:36:27.833,0,,16,
75,2,,2013-05-08 21:47:41.837,3,,156,,,2013-05-08 21:47:41.837,1,,17,
76,2,,2013-05-08 21:51:25.903,14,,7,,,2013-05-08 21:51:25.903,0,,43,
77,2,,2013-05-08 22:31:36.013,12,,7,,,2013-05-08 22:31:36.013,2,,41,
79,2,,2013-05-08 22:58:22.380,8,,169,169,2013-05-09 13:21:42.523,2013-05-09 13:21:42.523,0,,52,
80,2,,2013-05-08 23:13:59.873,17,,18,18,2015-05-07 14:50:16.050,2015-05-07 14:50:16.050,3,,7,
81,2,,2013-05-08 23:36:08.513,10,,18,18,2015-03-24 19:58:10.670,2015-03-24 19:58:10.670,2,,46,
88,2,,2013-05-09 00:18:56.873,8,,70,70,2013-05-09 00:35:56.647,2013-05-09 00:35:56.647,3,,52,
91,2,,2013-05-09 00:43:06.993,5,,70,70,2013-05-09 10:03:04.070,2013-05-09 10:03:04.070,0,,46,
94,2,,2013-05-09 01:02:52.080,25,,70,-1,2017-04-13 12:44:19.273,2013-08-06 21:57:41.310,1,,93,
96,2,,2013-05-09 01:16:13.330,3,,176,169,2013-05-09 09:10:38.470,2013-05-09 09:10:38.470,0,,11,
97,2,,2013-05-09 01:18:53.827,15,,152,,,2013-05-09 01:18:53.827,2,,92,
98,2,,2013-05-09 01:32:39.730,1,,181,,,2013-05-09 01:32:39.730,2,,92,
99,2,,2013-05-09 01:33:33.580,11,,152,193,2015-04-03 17:13:30.297,2015-04-03 17:13:30.297,6,,95,
100,2,,2013-05-09 01:41:40.477,3,,169,,,2013-05-09 01:41:40.477,0,,95,
101,2,,2013-05-09 01:43:31.237,11,,181,,,2013-05-09 01:43:31.237,1,,93,
102,2,,2013-05-09 01:49:08.233,3,,7,,,2013-05-09 01:49:08.233,2,,95,
105,2,,2013-05-09 02:36:15.470,0,,169,,,2013-05-09 02:36:15.470,8,,85,
110,2,,2013-05-09 03:07:11.143,2,,142,,,2013-05-09 03:07:11.143,0,,92,
113,2,,2013-05-09 04:52:16.087,7,,169,,,2013-05-09 04:52:16.087,1,,112,
114,2,,2013-05-09 05:16:23.187,9,,160,,,2013-05-09 05:16:23.187,0,,93,
116,2,,2013-05-09 05:46:37.110,2,,200,,,2013-05-09 05:46:37.110,0,,93,
117,2,,2013-05-09 06:04:57.227,3,,169,,,2013-05-09 06:04:57.227,0,,103,
120,2,,2013-05-09 07:21:55.093,3,,202,,,2013-05-09 07:21:55.093,3,,26,
123,2,,2013-05-09 08:08:38.680,6,,205,169,2013-05-09 09:18:48.153,2013-05-09 09:18:48.153,2,,111,
124,2,,2013-05-09 08:10:11.607,3,,205,,,2013-05-09 08:10:11.607,2,,84,
125,2,,2013-05-09 08:50:15.183,12,,49,208,2014-01-27 19:24:26.100,2014-01-27 19:24:26.100,2,,78,
128,2,,2013-05-09 09:05:21.433,4,,183,,,2013-05-09 09:05:21.433,0,,24,
129,2,,2013-05-09 09:17:35.720,2,,169,-1,2017-04-13 12:57:29.950,2013-05-09 09:17:35.720,2,,107,
130,2,,2013-05-09 09:22:42.077,1,,205,,,2013-05-09 09:22:42.077,0,,92,
131,2,,2013-05-09 09:29:05.053,4,,70,,,2013-05-09 09:29:05.053,0,,111,
132,2,,2013-05-09 09:35:08.010,11,,183,,,2013-05-09 09:35:08.010,0,,26,
134,2,,2013-05-09 09:58:40.783,6,,70,70,2013-05-09 14:16:19.830,2013-05-09 14:16:19.830,0,,26,
136,2,,2013-05-09 10:15:44.557,11,,70,,,2013-05-09 10:15:44.557,1,,133,
137,2,,2013-05-09 11:35:14.073,14,,211,,,2013-05-09 11:35:14.073,2,,127,
138,2,,2013-05-09 11:44:41.763,4,,18,,,2013-05-09 11:44:41.763,0,,127,
139,2,,2013-05-09 12:49:57.090,5,,41,,,2013-05-09 12:49:57.090,1,,1,
140,2,,2013-05-09 13:13:12.027,7,,178,,,2013-05-09 13:13:12.027,1,,95,
142,2,,2013-05-09 13:22:16.447,5,,183,,,2013-05-09 13:22:16.447,0,,42,
144,2,,2013-05-09 14:58:00.000,7,,206,206,2016-05-15 14:42:21.707,2016-05-15 14:42:21.707,1,,93,
148,2,,2013-05-09 15:10:17.083,6,,206,,,2013-05-09 15:10:17.083,0,,41,
149,2,,2013-05-09 15:35:10.597,4,,208,,,2013-05-09 15:35:10.597,0,,145,
151,2,,2013-05-09 15:49:08.847,2,,183,,,2013-05-09 15:49:08.847,0,,146,
153,2,,2013-05-09 16:09:33.883,12,,70,,,2013-05-09 16:09:33.883,0,,115,
155,2,,2013-05-09 16:31:24.967,4,,222,,,2013-05-09 16:31:24.967,1,,143,
156,2,,2013-05-09 16:54:50.143,2,,225,,,2013-05-09 16:54:50.143,0,,29,
161,2,,2013-05-09 17:26:33.140,5,,117,,,2013-05-09 17:26:33.140,2,,133,
162,2,,2013-05-09 18:10:31.270,1,,215,,,2013-05-09 18:10:31.270,1,,157,
163,2,,2013-05-09 18:32:25.457,1,,228,,,2013-05-09 18:32:25.457,2,,143,
164,2,,2013-05-09 19:06:18.640,6,,130,,,2013-05-09 19:06:18.640,0,,7,
166,2,,2013-05-09 19:49:25.157,11,,215,215,2013-05-09 20:00:31.230,2013-05-09 20:00:31.230,0,,165,
168,2,,2013-05-09 20:24:11.090,7,,231,,,2013-05-09 20:24:11.090,0,,7,
169,2,,2013-05-09 20:27:11.527,1,,43,43,2014-03-05 00:40:07.943,2014-03-05 00:40:07.943,0,,145,
170,2,,2013-05-09 20:43:53.963,2,,231,,,2013-05-09 20:43:53.963,0,,3,
172,2,,2013-05-09 20:49:25.643,6,,231,,,2013-05-09 20:49:25.643,0,,9,
173,2,,2013-05-09 20:52:33.833,6,,41,,,2013-05-09 20:52:33.833,1,,167,
175,2,,2013-05-09 21:41:33.123,4,,75,,,2013-05-09 21:41:33.123,0,,41,
178,2,,2013-05-10 01:19:54.087,5,,237,,,2013-05-10 01:19:54.087,1,,157,
179,2,,2013-05-10 01:35:19.570,2,,237,,,2013-05-10 01:35:19.570,0,,29,
180,2,,2013-05-10 02:50:13.523,3,,33,3840,2015-07-10 14:54:26.877,2015-07-10 14:54:26.877,0,,154,
181,2,,2013-05-10 02:52:38.553,4,,156,,,2013-05-10 02:52:38.553,4,,174,
182,2,,2013-05-10 04:12:06.507,3,,160,,,2013-05-10 04:12:06.507,0,,143,
183,2,,2013-05-10 04:13:25.443,9,,156,156,2013-05-12 23:06:11.627,2013-05-12 23:06:11.627,0,,115,
184,2,,2013-05-10 05:02:04.183,2,,133,-1,2017-04-13 12:57:29.950,2013-05-10 05:02:04.183,0,,171,
185,2,,2013-05-10 07:08:41.437,2,,215,215,2013-05-10 19:05:45.283,2013-05-10 19:05:45.283,3,,106,
187,2,,2013-05-10 12:25:09.500,6,,169,,,2013-05-10 12:25:09.500,0,,186,
189,2,,2013-05-10 14:01:13.823,2,,237,,,2013-05-10 14:01:13.823,0,,7,
190,2,,2013-05-10 14:25:03.550,6,,33,,,2013-05-10 14:25:03.550,0,,41,
191,2,,2013-05-10 14:54:13.140,5,,243,,,2013-05-10 14:54:13.140,0,,1,
192,2,,2013-05-10 15:26:30.487,9,,244,244,2013-06-22 00:35:07.783,2013-06-22 00:35:07.783,0,,6,
193,2,,2013-05-10 15:30:13.483,9,,244,,,2013-05-10 15:30:13.483,0,,23,
194,2,,2013-05-10 15:35:49.443,7,,244,8614,2015-10-18 20:54:04.740,2015-10-18 20:54:04.740,0,,188,
196,2,,2013-05-10 17:32:08.097,10,,102,382,2013-05-21 22:36:20.337,2013-05-21 22:36:20.337,2,,195,
197,2,,2013-05-10 18:59:06.767,7,,204,204,2014-10-25 15:09:25.280,2014-10-25 15:09:25.280,3,,106,
198,2,,2013-05-10 20:14:29.420,1,,18,,,2013-05-10 20:14:29.420,0,,174,
202,2,,2013-05-10 20:36:41.547,3,,250,,,2013-05-10 20:36:41.547,0,,1,
203,2,,2013-05-10 20:40:19.920,6,,250,,,2013-05-10 20:40:19.920,0,,9,
204,2,,2013-05-10 21:21:36.290,4,,46,,,2013-05-10 21:21:36.290,2,,200,
237,2,,2013-05-10 22:03:34.387,15,,18,,,2013-05-10 22:03:34.387,0,,171,
242,2,,2013-05-11 00:44:51.747,3,,152,,,2013-05-11 00:44:51.747,1,,158,
243,2,,2013-05-11 01:09:19.093,6,,152,,,2013-05-11 01:09:19.093,0,,199,
244,2,,2013-05-11 03:25:38.793,4,,142,-1,2014-02-06 07:07:41.480,2014-02-06 07:07:41.480,3,,199,
247,2,,2013-05-11 11:59:26.120,5,,244,244,2013-05-23 00:11:58.147,2013-05-23 00:11:58.147,1,,126,
250,2,,2013-05-11 17:27:08.210,3,,152,,,2013-05-11 17:27:08.210,0,,249,
251,2,,2013-05-11 18:30:31.050,5,,156,,,2013-05-11 18:30:31.050,0,,249,
252,2,,2013-05-11 19:24:10.860,3,,237,237,2013-05-14 00:13:49.933,2013-05-14 00:13:49.933,3,,95,
253,2,,2013-05-12 00:26:23.440,3,,33,33,2013-05-12 00:39:04.757,2013-05-12 00:39:04.757,1,,157,
255,2,,2013-05-12 03:29:11.153,8,,256,-1,2017-04-13 12:33:47.137,2013-05-12 03:56:43.283,3,,195,
256,2,,2013-05-12 03:44:44.437,3,,256,,,2013-05-12 03:44:44.437,0,,254,
257,2,,2013-05-12 05:58:15.317,7,,261,,,2013-05-12 05:58:15.317,1,,157,
260,2,,2013-05-12 07:28:04.590,1,,266,,,2013-05-12 07:28:04.590,0,,258,
262,2,,2013-05-12 07:37:33.990,1,,266,,,2013-05-12 07:37:33.990,1,,259,
265,2,,2013-05-12 10:17:56.160,1,,183,,,2013-05-12 10:17:56.160,1,,261,
267,2,,2013-05-12 12:48:54.630,3,,152,,,2013-05-12 12:48:54.630,2,,266,
268,2,,2013-05-12 13:23:49.287,2,,181,,,2013-05-12 13:23:49.287,1,,259,
270,2,,2013-05-12 13:28:53.577,4,,181,584,2013-05-24 16:07:47.480,2013-05-24 16:07:47.480,2,,266,
273,2,,2013-05-12 13:53:45.467,83,,70,70,2016-02-01 19:54:35.727,2016-02-01 19:54:35.727,3,,266,
274,2,,2013-05-12 14:23:49.480,34,,70,70,2014-12-17 09:38:22.413,2014-12-17 09:38:22.413,3,,269,
275,2,,2013-05-12 15:04:06.760,8,,276,,,2013-05-12 15:04:06.760,0,,272,
276,2,,2013-05-12 15:04:27.433,8,,70,-1,2017-04-13 12:57:29.950,2013-05-12 15:13:59.387,0,,258,
286,2,,2013-05-12 17:26:57.230,6,,18,,,2013-05-12 17:26:57.230,1,,285,
291,2,,2013-05-12 18:06:40.533,2,,18,18,2013-05-13 16:46:33.470,2013-05-13 16:46:33.470,3,,271,
292,2,,2013-05-12 19:14:58.603,2,,26,,,2013-05-12 19:14:58.603,0,,259,
293,2,,2013-05-12 19:29:14.753,7,,26,,,2013-05-12 19:29:14.753,3,,283,
294,2,,2013-05-12 19:30:42.137,33,,283,207,2013-05-13 15:13:35.327,2013-05-13 15:13:35.327,0,,266,
299,2,,2013-05-12 19:46:09.607,12,,276,276,2013-05-16 03:49:50.200,2013-05-16 03:49:50.200,1,,298,
300,2,,2013-05-12 19:55:06.150,5,,26,90,2017-02-12 17:27:48.920,2017-02-12 17:27:48.920,0,,78,
301,2,,2013-05-12 20:07:02.877,3,,244,,,2013-05-12 20:07:02.877,2,,296,
303,2,,2013-05-12 20:16:32.023,13,,276,,,2013-05-12 20:16:32.023,1,,302,
304,2,,2013-05-12 20:40:22.773,6,,244,,,2013-05-12 20:40:22.773,0,,297,
305,2,,2013-05-12 22:45:37.103,1,,152,,,2013-05-12 22:45:37.103,1,,271,
307,2,,2013-05-13 00:24:39.860,6,,152,,,2013-05-13 00:24:39.860,3,,283,
308,2,,2013-05-13 00:29:29.343,9,,134,,,2013-05-13 00:29:29.343,2,,158,
309,2,,2013-05-13 01:22:29.977,2,,263,,,2013-05-13 01:22:29.977,0,,298,
310,2,,2013-05-13 01:53:01.263,2,,263,,,2013-05-13 01:53:01.263,0,,297,
312,2,,2013-05-13 04:06:01.593,9,,152,-1,2017-04-13 12:57:29.950,2013-05-13 04:11:19.533,0,,311,
314,2,,2013-05-13 04:32:09.117,3,,183,,,2013-05-13 04:32:09.117,1,,306,
315,2,,2013-05-13 04:38:46.493,2,,288,,,2013-05-13 04:38:46.493,0,,158,
316,2,,2013-05-13 04:38:51.630,4,,183,,,2013-05-13 04:38:51.630,0,,284,
317,2,,2013-05-13 07:38:04.157,9,,152,-1,2017-04-13 12:33:47.137,2013-05-13 07:38:04.157,3,,313,
318,2,,2013-05-13 08:26:37.167,19,,122,,,2013-05-13 08:26:37.167,1,,92,
319,2,,2013-05-13 10:30:53.097,19,,207,,,2013-05-13 10:30:53.097,5,,157,
320,2,,2013-05-13 10:38:05.277,8,,207,,,2013-05-13 10:38:05.277,2,,200,
321,2,,2013-05-13 10:49:13.300,6,,207,386,2013-05-22 17:08:25.257,2013-05-22 17:08:25.257,0,,115,
324,2,,2013-05-13 12:39:21.513,3,,263,,,2013-05-13 12:39:21.513,0,,92,
325,2,,2013-05-13 12:42:12.950,5,,208,,,2013-05-13 12:42:12.950,0,,323,
326,2,,2013-05-13 14:16:30.207,10,,244,,,2013-05-13 14:16:30.207,2,,323,
327,2,,2013-05-13 14:24:52.740,1,,244,,,2013-05-13 14:24:52.740,0,,295,
328,2,,2013-05-13 14:44:16.410,1,,244,244,2013-05-15 18:34:05.230,2013-05-15 18:34:05.230,2,,306,
329,2,,2013-05-13 15:14:57.897,1,,208,-1,2017-04-13 12:57:29.950,2013-05-13 15:14:57.897,0,,146,
330,2,,2013-05-13 16:42:28.957,7,,159,1511,2016-09-06 20:09:48.563,2016-09-06 20:09:48.563,1,,302,
331,2,,2013-05-13 17:30:17.213,3,,233,,,2013-05-13 17:30:17.213,0,,23,
332,2,,2013-05-13 20:43:32.440,2,,178,178,2013-05-13 21:29:00.983,2013-05-13 21:29:00.983,1,,322,
333,2,,2013-05-14 00:23:34.080,4,,244,70,2013-05-14 08:37:02.690,2013-05-14 08:37:02.690,1,,112,
336,2,,2013-05-14 02:18:16.330,8,,152,152,2013-05-14 02:36:57.193,2013-05-14 02:36:57.193,5,,335,
340,2,,2013-05-14 11:07:22.137,5,,244,,,2013-05-14 11:07:22.137,2,,339,
341,2,,2013-05-14 12:59:57.343,6,,263,263,2013-05-14 13:08:17.187,2013-05-14 13:08:17.187,0,,339,
343,2,,2013-05-14 15:32:15.803,3,,298,,,2013-05-14 15:32:15.803,0,,1,
344,2,,2013-05-14 15:50:35.927,5,,207,,,2013-05-14 15:50:35.927,3,,271,
345,2,,2013-05-14 16:15:54.320,4,,298,237,2013-05-19 17:03:10.853,2013-05-19 17:03:10.853,4,,334,
347,2,,2013-05-14 18:29:28.180,14,,46,,,2013-05-14 18:29:28.180,2,,342,
348,2,,2013-05-14 19:07:04.170,6,,244,,,2013-05-14 19:07:04.170,0,,342,
351,2,,2013-05-15 02:05:13.167,2,,263,,,2013-05-15 02:05:13.167,0,,342,
352,2,,2013-05-15 02:48:23.833,1,,244,,,2013-05-15 02:48:23.833,0,,346,
353,2,,2013-05-15 02:52:14.757,7,,244,,,2013-05-15 02:52:14.757,0,,258,
355,2,,2013-05-15 06:15:22.340,1,,33,33,2013-05-15 17:15:35.913,2013-05-15 17:15:35.913,0,,41,
356,2,,2013-05-15 06:43:07.540,1,,183,,,2013-05-15 06:43:07.540,1,,346,
357,2,,2013-05-15 10:05:22.630,5,,207,,,2013-05-15 10:05:22.630,0,,258,
359,2,,2013-05-15 12:17:33.183,1,,263,,,2013-05-15 12:17:33.183,0,,358,
360,2,,2013-05-15 13:08:35.097,10,,207,207,2013-12-21 18:00:59.153,2013-12-21 18:00:59.153,3,,127,
361,2,,2013-05-15 13:25:16.023,5,,156,,,2013-05-15 13:25:16.023,0,,127,
362,2,,2013-05-15 13:48:49.903,2,,18,,,2013-05-15 13:48:49.903,0,,358,
363,2,,2013-05-15 14:50:08.670,5,,244,244,2014-08-05 12:11:53.193,2014-08-05 12:11:53.193,5,,358,
366,2,,2013-05-15 16:33:30.490,5,,208,,,2013-05-15 16:33:30.490,0,,365,
370,2,,2013-05-15 18:41:18.697,3,,244,,,2013-05-15 18:41:18.697,0,,365,
371,2,,2013-05-15 19:13:22.350,6,,316,,,2013-05-15 19:13:22.350,0,,369,
372,2,,2013-05-15 19:21:59.477,7,,156,,,2013-05-15 19:21:59.477,1,,369,
373,2,,2013-05-15 20:44:38.053,6,,315,,,2013-05-15 20:44:38.053,0,,78,
375,2,,2013-05-15 21:44:33.327,10,,18,1677,2013-12-24 19:34:22.800,2013-12-24 19:34:22.800,0,,374,
377,2,,2013-05-15 22:52:11.433,4,,33,,,2013-05-15 22:52:11.433,0,,171,
379,2,,2013-05-16 00:02:11.623,18,,32,389,2015-09-22 12:40:41.277,2015-09-22 12:40:41.277,0,,365,
380,2,,2013-05-16 00:41:57.297,18,,244,12764,2016-10-07 17:13:37.977,2016-10-07 17:13:37.977,2,,378,
382,2,,2013-05-16 01:56:27.867,3,,244,,,2013-05-16 01:56:27.867,0,,364,
385,2,,2013-05-16 02:31:32.533,2,,175,175,2013-05-16 04:38:40.133,2013-05-16 04:38:40.133,0,,378,
386,2,,2013-05-16 02:32:43.990,1,,175,175,2013-05-16 04:41:52.987,2013-05-16 04:41:52.987,0,,171,
387,2,,2013-05-16 03:02:32.313,3,,175,175,2013-05-16 04:41:34.097,2013-05-16 04:41:34.097,0,,78,
388,2,,2013-05-16 03:12:16.097,5,,175,175,2013-05-16 04:41:13.220,2013-05-16 04:41:13.220,0,,42,
389,2,,2013-05-16 03:22:28.623,3,,175,175,2013-05-16 04:40:56.110,2013-05-16 04:40:56.110,0,,342,
391,2,,2013-05-16 03:31:50.237,2,,175,175,2013-05-16 04:40:36.203,2013-05-16 04:40:36.203,0,,335,
392,2,,2013-05-16 03:32:56.140,0,,175,175,2013-05-16 04:40:23.153,2013-05-16 04:40:23.153,0,,322,
393,2,,2013-05-16 03:35:40.970,1,,175,175,2013-05-16 04:40:14.077,2013-05-16 04:40:14.077,0,,158,
394,2,,2013-05-16 03:42:01.697,3,,175,175,2013-05-16 04:38:24.867,2013-05-16 04:38:24.867,0,,298,
395,2,,2013-05-16 03:53:44.823,2,,175,175,2013-05-16 04:39:52.357,2013-05-16 04:39:52.357,0,,195,
396,2,,2013-05-16 03:57:06.513,6,,237,,,2013-05-16 03:57:06.513,0,,133,
397,2,,2013-05-16 04:01:22.863,2,,175,175,2013-05-16 04:39:06.477,2013-05-16 04:39:06.477,0,,24,
398,2,,2013-05-16 04:12:08.433,3,,175,175,2013-05-16 04:38:52.510,2013-05-16 04:38:52.510,0,,1,
404,2,,2013-05-16 14:22:55.333,8,,70,,,2013-05-16 14:22:55.333,1,,272,
405,2,,2013-05-16 14:24:05.300,10,,156,,,2013-05-16 14:24:05.300,1,,403,
406,2,,2013-05-16 16:41:57.630,5,,160,,,2013-05-16 16:41:57.630,2,,311,
407,2,,2013-05-16 17:00:58.607,4,,45,,,2013-05-16 17:00:58.607,0,,133,
408,2,,2013-05-16 17:04:04.873,3,,263,,,2013-05-16 17:04:04.873,3,,402,
409,2,,2013-05-16 17:14:15.677,16,,244,,,2013-05-16 17:14:15.677,0,,381,
410,2,,2013-05-16 17:15:25.810,2,,237,,,2013-05-16 17:15:25.810,1,,402,
411,2,,2013-05-16 17:26:59.100,5,,244,244,2013-05-16 17:34:09.110,2013-05-16 17:34:09.110,1,,390,
413,2,,2013-05-16 21:01:22.463,1,,117,,,2013-05-16 21:01:22.463,3,,157,
414,2,,2013-05-17 00:47:21.280,8,,233,,,2013-05-17 00:47:21.280,0,,42,
418,2,,2013-05-17 02:59:55.977,7,,263,263,2013-05-17 13:29:47.660,2013-05-17 13:29:47.660,1,,415,
420,2,,2013-05-17 16:04:33.543,2,,33,,,2013-05-17 16:04:33.543,1,,419,
421,2,,2013-05-17 16:48:31.147,1,,322,70,2013-05-17 17:10:16.737,2013-05-17 17:10:16.737,0,,127,
423,2,,2013-05-17 18:21:38.517,3,,45,,,2013-05-17 18:21:38.517,2,,422,
426,2,,2013-05-17 18:55:38.067,3,,56,,,2013-05-17 18:55:38.067,0,,412,
427,2,,2013-05-17 19:41:14.367,7,,18,,,2013-05-17 19:41:14.367,0,,412,
428,2,,2013-05-17 20:48:45.233,5,,263,,,2013-05-17 20:48:45.233,1,,422,
429,2,,2013-05-17 20:57:04.417,20,,324,,,2013-05-17 20:57:04.417,0,,115,
430,2,,2013-05-17 21:15:41.387,5,,324,,,2013-05-17 21:15:41.387,1,,143,
431,2,,2013-05-17 23:18:24.630,6,,237,,,2013-05-17 23:18:24.630,0,,424,
432,2,,2013-05-17 23:43:34.847,4,,237,237,2013-05-18 21:40:13.463,2013-05-18 21:40:13.463,3,,422,
434,2,,2013-05-18 05:27:35.180,4,,41,,,2013-05-18 05:27:35.180,1,,433,
435,2,,2013-05-18 10:12:33.820,1,,149,,,2013-05-18 10:12:33.820,0,,433,
436,2,,2013-05-18 10:51:28.200,6,,263,,,2013-05-18 10:51:28.200,1,,433,
437,2,,2013-05-18 16:37:06.517,11,,233,-1,2017-04-13 12:57:29.950,2013-05-18 16:37:06.517,1,,422,
438,2,,2013-05-18 17:19:21.223,2,,322,-1,2017-04-13 12:57:29.653,2013-05-18 17:19:21.223,1,,402,
440,2,,2013-05-19 14:36:50.263,1,,233,,,2013-05-19 14:36:50.263,1,,439,
441,2,,2013-05-20 20:00:40.787,4,,244,,,2013-05-20 20:00:40.787,1,,439,
444,2,,2013-05-21 02:02:47.743,1,,41,41,2013-05-21 02:07:55.657,2013-05-21 02:07:55.657,1,,443,
445,2,,2013-05-21 08:23:34.927,2,,278,,,2013-05-21 08:23:34.927,0,,442,
446,2,,2013-05-21 11:22:08.030,1,,333,,,2013-05-21 11:22:08.030,0,,425,
447,2,,2013-05-21 14:49:05.040,2,,18,18,2013-05-21 22:15:00.230,2013-05-21 22:15:00.230,4,,442,
448,2,,2013-05-21 14:58:26.773,2,,18,,,2013-05-21 14:58:26.773,0,,439,
451,2,,2013-05-21 19:02:16.293,3,,244,244,2013-05-21 21:26:11.103,2013-05-21 21:26:11.103,2,,449,
452,2,,2013-05-21 19:04:10.487,0,,41,,,2013-05-21 19:04:10.487,2,,450,
454,2,,2013-05-21 19:39:05.697,2,,336,,,2013-05-21 19:39:05.697,0,,157,
455,2,,2013-05-21 19:39:59.060,4,,17,17,2013-05-22 18:25:22.513,2013-05-22 18:25:22.513,1,,453,
456,2,,2013-05-21 19:40:50.870,3,,48,,,2013-05-21 19:40:50.870,0,,453,
457,2,,2013-05-21 19:43:25.353,2,,336,,,2013-05-21 19:43:25.353,1,,433,
458,2,,2013-05-21 19:44:22.473,7,,244,,,2013-05-21 19:44:22.473,0,,453,
459,2,,2013-05-21 19:46:02.153,5,,342,,,2013-05-21 19:46:02.153,0,,171,
461,2,,2013-05-21 20:04:05.207,1,,125,,,2013-05-21 20:04:05.207,0,,171,
463,2,,2013-05-21 20:05:09.010,4,,336,,,2013-05-21 20:05:09.010,0,,311,
464,2,,2013-05-21 20:05:23.320,4,,33,,,2013-05-21 20:05:23.320,0,,453,
465,2,,2013-05-21 20:39:27.923,1,,362,,,2013-05-21 20:39:27.923,1,,115,
466,2,,2013-05-21 20:49:19.793,2,,346,346,2013-05-21 22:24:50.273,2013-05-21 22:24:50.273,0,,442,
468,2,,2013-05-21 21:37:14.233,6,,382,33,2013-05-22 13:26:37.613,2013-05-22 13:26:37.613,3,,195,
