Id,AcceptedAnswerId,CreationDate,ViewCount,OwnerUserId,Title,Tags,OwnerDisplayName
126,,2013-05-09 08:53:57,105,100,Where can I find high-precision cartographic data of French rural areas?,data-request;geospatial;openstreetmap,
127,,2013-05-09 09:00:41,1932,204,Extracting tables from multiple PDFs,tool-request;best-practice;extracting;pdf,
133,136,2013-05-09 09:50:35,1558,208,Tools for merging similar datasets continuously,tool-request,
143,155,2013-05-09 14:37:50,3564,102,What is the best source for finding what businesses have opened/exist/closed in a given geographical area?,data-request;usa;government;business,
145,149,2013-05-09 15:04:01,616,160,What are the available tools for managing crowdsourced data-cleaning tasks?,tool-request;crowdsourcing;unstructured-data,
146,,2013-05-09 15:09:52,131,193,Open Data Conflict Resolution,trust;address,
154,180,2013-05-09 16:21:24,265,168,API for information about Brazilian cities/states,api-request;census;brazil,
157,319,2013-05-09 17:14:31,2293,7,Metadata standards and best practices for data dictionaries for CSV files/data,csv;standards;metadata;best-practice,
158,,2013-05-09 17:21:19,626,7,Cost of ownership - CKAN for city/local government or small federal agency,government;tool-request;ckan;data-portal,
165,166,2013-05-09 19:45:57,1453,215,American English SMS Text Message Corpora,language;corpora;english,
167,173,2013-05-09 20:12:14,82,102,What is the appropriate way to timestamp/determine recency of given data set?,usa;releasing-data,
171,237,2013-05-09 20:46:59,284,43,What is the best way to request machine readable data from a FOIA request?,usa;foia;conversion,
174,,2013-05-09 21:14:34,57,85,Non US-centric databases on boards of directors and government agency memberships?,government;companies,
186,,2013-05-10 10:26:09,66,183,Where can I find open listings of zipcodes in Indonesia?,data-request;postal-code;asia,
188,194,2013-05-10 13:55:14,81,102,Is there a centralized schedule of data release dates for U.S. federal agencies?,usa;government;releasing-data;data.gov,
195,7926,2013-05-10 17:01:21,3847,146,Is there an open API for world terrain data?,geospatial;api-request,
199,243,2013-05-10 20:30:20,2769,139,Are there open complete usenet archives?,data-request;internet,
200,320,2013-05-10 20:33:03,2325,139,Database of ships?,data-request;transportation,
201,,2013-05-10 20:35:34,1382,139,Database of fictional characters?,data-request;names,
245,,2013-05-11 05:43:54,1417,183,CC-BY vs MIT or BSD licenses regarding re-use?,creative-commons;licensing,
249,251,2013-05-11 17:13:01,351,165,Is there an API or global source for US ballot information?,usa;elections,
254,256,2013-05-12 00:48:47,40,33,Is there a list of Chemical Weapon Industry Facilities/Funders?,usa,
258,276,2013-05-12 06:29:48,329,97,Are there any international non-governmental data aggregators?,data-request;data-portal;ngo,
259,,2013-05-12 06:31:46,347,263,Standards for self-documenting text files?,standards;data-format;documentation,
261,,2013-05-12 07:33:22,83,263,Requirements of the Open Data Commons Attribution License,licensing,
266,273,2013-05-12 12:00:23,21281,139,A database of open databases?,releasing-data;metadata;data-portal,
269,274,2013-05-12 13:28:36,47891,276,Open API for nutritional information and/or food barcodes?,data-request;api-request;food;barcodes,
271,344,2013-05-12 13:43:08,228,70,Restrict search to open datasets on CKAN's Data Hub?,ckan;open-definition,
272,,2013-05-12 13:50:29,3299,277,Any uses of JSON-LD?,linked-data;json,
283,,2013-05-12 15:49:14,811,263,What are the practical limits of releasing open data via bit torrent?,big-data;releasing-data;bittorrent,
284,,2013-05-12 16:26:54,100,263,Standards for documenting use caveats?,standards;documentation;caveats,
285,,2013-05-12 16:27:07,3061,188,Is there a source for various Scrabble dictionaries?,data-request;api-request;dictionary;games,
295,,2013-05-12 19:33:25,170,26,What quantified self products have open data behind them?,data-request;computing,
296,,2013-05-12 19:36:08,48,26,How do United States federal agencies release data?,usa;government;federal,
297,,2013-05-12 19:37:45,3626,26,How does one parse weather data?,data-request;weather;noaa;parsing,
298,299,2013-05-12 19:44:08,406,276,Is there an exoplanet API or dataset?,data-request;api-request;astronomy,
302,303,2013-05-12 20:16:32,1258,276,Are there datasets prepared for machine learning?,data-request;machine-learning;analysis;research,
306,,2013-05-12 23:38:32,374,284,Releasing old historical/genealogical datasets as open data,releasing-data;best-practice;historical,
311,312,2013-05-13 02:35:18,281,244,What new open data do you need from the U.S. government?,government;usa,
313,317,2013-05-13 04:12:59,209,288,What are the most useful formats in which to release geospatial data?,geospatial;releasing-data;best-practice;data-format,
322,,2013-05-13 12:29:30,103,295,What is the governance of the US Government's Project Open Data?,usa;data.gov;github,
323,,2013-05-13 12:31:38,123,295,What is the plan for the US Government's Data.gov?,usa;data.gov,
334,345,2013-05-14 00:55:26,140,33,How should I categorize municipal legislation?,legal;city,
335,336,2013-05-14 02:11:24,88,276,Categories and varieties of Open Data licensing?,releasing-data;licensing,
339,341,2013-05-14 05:51:09,192,308,Open dataset on manned space missions,data-request;transportation,
342,347,2013-05-14 14:35:59,187,208,How should governments build community around their datasets?,data.gov;data-portal;social-process,
346,,2013-05-14 16:23:59,127,263,Standards for documenting gaps in data?,standards;documentation;caveats,
358,363,2013-05-15 11:13:38,134,276,What are the sources of data on Data.gov?,usa;data.gov,
364,,2013-05-15 16:00:59,74,139,Is there a list of hot-spots and free wifis in Germany?,germany;data-request,
365,379,2013-05-15 16:05:13,11121,139,Downloadable archive of weather conditions for Europe?,data-request;weather;europe,
369,4521,2013-05-15 18:34:23,522,37,Alternative to GTFS (General Transit Feed Specification)?,releasing-data;data-format;standards;public-transport,
374,375,2013-05-15 21:44:33,1666,18,Where can I get bulk access to IRS 990 filings for US non-profits,usa;data.gov;nonprofit;irs,
378,380,2013-05-15 23:49:43,1894,276,What does CKAN stand for and what does it do?,tool-request;ckan,
381,,2013-05-16 00:54:00,2741,33,How to normalize the data when mapping crime reports?,us-census;maps;crime;normalization,
390,,2013-05-16 03:26:24,142,276,Have genetic algorithms been applied to Open Data?,data.gov;big-data,
399,,2013-05-16 04:51:52,80,175,Are there best practices that government API producers should follow more so than non-government API producers?,government;api;best-practice,
402,,2013-05-16 05:14:24,205,175,What would be particularly useful basic APIs for the US Federal Government to offer?,government;api;usa,
403,405,2013-05-16 10:51:10,76,276,How does the Sunlight Foundation relate to Open Data?,nonprofit;sunlight-foundation,
412,427,2013-05-16 19:44:10,2180,147,Is there a better public version of USA's Social Security Death Master File?,data-request;usa;healthcare,
415,,2013-05-17 01:03:05,99,233,Are there publicly available sources listing uses of open data?,uses-of-open-data;data-request,
416,,2013-05-17 01:11:27,55,7,Capturing development/aid project perfromance in IATI format,standards;iati;ict4d;aid,
417,,2013-05-17 01:23:09,43,7,Reporting non-country specific administrative spending in IATI standard,standards;iati;ict4d;aid,
419,,2013-05-17 12:51:28,39,183,Checklist for soliciting non-identifiable data from FOSS-users for open data project,licensing,
422,,2013-05-17 17:24:00,1235,322,"Is there a list, database or API that contains the URLs for United States city and town websites?",data-request;usa;api-request;city,
424,431,2013-05-17 18:45:00,273,33,How should I adapt a Schema.org microdata format for legislation?,legal;linked-data,
425,,2013-05-17 18:53:23,111,233,What finance data sets would be particularly useful to release?,usa;finance,
433,436,2013-05-18 00:52:03,203,276,What are the standards for data in terms of Open APIs?,api;data-format;standards,
439,,2013-05-18 17:38:47,117,322,"Where can I find a list or directory of foundations, investment firms or individuals interested in financially supporting Open Data initiatives?",data-request;government,
442,447,2013-05-20 23:40:54,129,33,Ethics of publicizing public data,ethics,
443,499,2013-05-21 00:04:36,271,33,"Appealing a ""Mosaic Effect"" restriction?",usa;government;mosaic-effect,
449,451,2013-05-21 15:34:49,64,102,Open and proprietary data in determining federal funding eligibility,usa;government;data.gov,
450,,2013-05-21 18:34:03,86,33,Data about biases in city service requests,data-request;city;research,
453,,2013-05-21 19:32:43,292,217,Is there a roadmap for opening all the data for a city or municipality?,government;releasing-data,
460,,2013-05-21 19:49:47,172,48,Open data community ideation tools?,tool-request,
462,540,2013-05-21 20:04:08,150,346,Is there (or should there be) a standard way to categorize procurement data at the municipal level?,government;releasing-data;standards,
467,,2013-05-21 21:14:28,87,365,Seeking real-world networks that have an approximately linear structure,data-request;network-structure,
472,571,2013-05-21 21:45:51,3827,379,Self-documenting RESTful APIs: examples with WADL?,api;documentation,
477,,2013-05-21 21:57:16,481,233,What are the most common ways that users find out about new data sets?,releasing-data,
478,,2013-05-21 21:58:52,2279,386,What examples are there of Linked Data/RDF being used for open data applications?,linked-data,
486,548,2013-05-21 23:02:16,74,402,Are there best practices about data lifecycle management involving citizens?,releasing-data;best-practice,
492,,2013-05-22 00:00:53,56,233,"What companies, projects, and researchers are using the Consumer Financial Protection Bureau (CFPB)'s API of data on consumer product complaints?",api;uses-of-open-data,
497,501,2013-05-22 00:40:42,219,244,Displaying Trust and Data Provenance?,best-practice;linked-data;trust,
498,,2013-05-22 00:57:36,307,415,Are there any open mappings of train station identifiers in the UK?,data-request;uk;public-transport,
503,,2013-05-22 05:10:47,128,198,How can I track updates on the release of new open data sources across the world?,data-request;metadata,
505,516,2013-05-22 07:31:18,2859,438,Wikipedia dump files in SQL format,data-request;sql;wikipedia,
511,,2013-05-22 09:18:44,518,453,Evidence for the economic impact of open data?,data-request;economics;research;metadata,
513,,2013-05-22 10:58:16,272,461,Tales of woe from fixed-format (non-delimited) ASCII data distribution,data-format,
515,566,2013-05-22 11:05:24,2273,461,What does OpenRefine offer that other data-parsing tools don't?,parsing;openrefine;r,
517,518,2013-05-22 11:50:17,413,292,Are there any regular Open Data conferences?,data-request;calendar;social-process,
522,529,2013-05-22 14:41:01,1640,127,What is the major difference between Open data and Linked data?,linked-data,
527,,2013-05-22 15:25:05,2003,438,IPA phonology database,data-request;language,
534,,2013-05-22 16:25:30,106,127,Does any US Government agency (like FDA) publish a list of approved food products and ingredients?,usa;food,
542,543,2013-05-22 21:08:04,3113,140,Looking for Open Data Source to Correlate Address to Latitude/Longitude (geocoding),data-request;geospatial;address;geocoding,
553,,2013-05-23 06:08:44,1288,519,"Is there a list, database or API that contains the all the product information in India",data-request;api-request;products;barcodes;india,
554,,2013-05-23 08:31:55,2188,521,English news dataset for sentiment analysis,data-request;sentiment-analysis,
556,,2013-05-23 10:55:05,240,527,Where can I find data on sales of celery varieties in Europe?,data-request;europe;food,
562,,2013-05-23 13:58:37,167416,338,Is there a global database of all products with EAN 13 barcodes?,data-request;products;barcodes,
570,588,2013-05-23 15:58:21,269,551,"Geolocation - UK places with 100,000 people within a 30 mile radius",data-request;uk,
574,580,2013-05-23 16:21:03,868,553,Ownership of US county property tax/assessment data?,data-request;usa;legal;taxes,
576,592,2013-05-23 16:33:00,305,,Does there exist an authorative definition of an open dataset?,open-definition,user135
589,,2013-05-23 20:13:02,5434,561,Is there an open movie and/or music database available for commercial use?,data-request;music;film,
590,601,2013-05-23 21:15:13,201,565,"Is there data on the types of cars bought and turned in during the ""cash for clunkers"" program?",usa;data-request;federal,
595,,2013-05-24 02:22:02,346,559,How can a data governance framework be adapted for Open Data?,releasing-data,
609,,2013-05-24 18:37:54,140,26,US Government API Usage,data-request;usa;government;api,
613,,2013-05-24 20:42:44,391,559,What are the data quality measures for open data?,releasing-data;data.gov,
619,670,2013-05-24 23:46:40,810,431,Sources of political voting records at the county level?,usa;county;postal-code;elections,
621,,2013-05-25 06:08:29,578,612,How to publish real-time open data,releasing-data;best-practice;weather;data-portal;energy,
622,631,2013-05-25 10:33:51,100,,Are there any open datasets with technical specifications for photographic equipment?,data-request;linked-data,user135
638,653,2013-05-26 08:08:09,2150,71,Open database APIs for journal article metadata,data-request;api-request;research,
640,,2013-05-26 16:15:47,510,406,Keeping track of updates to open data published as CSV,tool-request;best-practice;csv,
644,645,2013-05-27 09:05:54,262,634,Sources of topograpical maps for use in LaTeX documents,data-request;maps;tool-request,wilx
647,,2013-05-27 15:19:13,188,637,Best practices for huge explorable linked data directories,best-practice;linked-data,
650,,2013-05-28 00:49:49,3473,147,Is there a site where USA road traffic historical data would be available?,data-request;usa;transportation,
673,689,2013-05-29 14:17:41,2790,5,Where can I find U.S. train traffic data?,data-request;usa;transportation,
675,,2013-05-29 21:39:56,3988,140,Data Source for Speed Limits,data-request;usa;transportation,
676,,2013-05-29 21:41:04,455,140,Open Web Crawling Dumps,data-request;web-crawling,
677,698,2013-05-29 22:07:23,186,485,"Standards for capturing organisational data like budgets, procurement, salaries",releasing-data;standards;iati;aid,
691,,2013-05-31 04:17:56,1374,140,Open Address Data for Restaurants,data-request;business;address,
694,,2013-05-31 13:51:35,240,87,"Preservation of blog posts, articles and essays",releasing-data;best-practice;historical,
704,,2013-06-03 03:36:35,132,295,"Which, if any, U.S. Federal Government agencies offer a Service Level Agreement (SLA) for their APIs?",usa;government;api,
705,707,2013-06-03 04:06:32,1620,295,What's the difference between Open Data and Big Data,open-definition;big-data,
708,,2013-06-03 08:08:16,240,42,Finding an index of food prices,data-request;prices;food,
712,717,2013-06-03 16:07:45,50,102,What level of government/governing agency determines the terms of use for transportation map/gis data in the U.S.?,usa;licensing;transportation;maps,
728,,2013-06-04 17:19:29,200,748,Open database of domain registration information?,data-request;tool-request;api-request;internet,
731,,2013-06-05 06:46:34,286,756,How to publish open data on my website? (Or: from CSV to RDFa),releasing-data;tool-request;csv;rdf;conversion,
737,,2013-06-06 06:19:55,66,763,License for data that precludes government/surveillance use,licensing,
742,,2013-06-08 15:08:37,250,351,Additional Detail from IPEDS Data Source,data-request;usa;data.gov;education,
743,745,2013-06-08 19:23:48,151,785,Where can I find Census county flow data?,data-request;usa;us-census,
744,,2013-06-08 21:43:21,87,295,Are there good examples of requiring open data in RFPs?,usa;best-practice,
747,749,2013-06-10 10:49:52,69,208,Spend transaction data formats,data-format,
748,1061,2013-06-10 11:10:53,7503,208,Is there a Git for data?,tool-request,
753,,2013-06-10 23:25:50,133,65,Linking FCC documents from ECFS to the Federal Register,usa;fcc;rulemaking,
755,,2013-06-11 07:04:04,67,402,Bioequivalent drugs in the US and EU?,data-request;medical;healthcare,
758,,2013-06-11 18:03:53,106,750,Availability of APHIS Data as API or bulk dump,data-request;usa;data.gov,
759,761,2013-06-11 18:39:37,262,84,"A database for dog, cat and other pet names?",data-request;names,
768,,2013-06-13 06:02:45,771,79,Let's suppose I have potentially interesting data. How to distribute?,best-practice;releasing-data,
774,784,2013-06-14 16:53:23,782,208,Should data APIs require registration and API keys?,api;releasing-data;best-practice;licensing,
786,788,2013-06-17 02:14:42,15422,421,"Is there an open database of elementary, middle, and high schools in the United States?",data-request;usa;education,
787,836,2013-06-17 07:48:49,358,786,"Data on income information for India, China, and West/East African nations with GIS coordinates",data-request;government;india;geospatial;ngo,
790,,2013-06-18 09:16:28,203,842,Crowdsourcing Data Submission,crowdsourcing;data-portal,
797,,2013-06-19 23:57:37,116,844,Open dataset for a 65-million year temperature history of earth?,data-request;weather;historical,
799,874,2013-06-21 10:17:13,1178,860,Open alternative to weatherbase.com,data-request;weather,
802,,2013-06-21 14:24:17,86,340,Open data for international treaties,data-request;legal,
811,843,2013-06-24 12:51:48,214,872,Recommended BitTorrent tracker/index for dataset release?,releasing-data;bittorrent,
812,814,2013-06-24 17:47:48,282,140,Open Seed for Crawl,data-request;web-crawling,
813,837,2013-06-25 06:27:22,799,878,What data source for cloud coverage available with forecast and how to parse it?,data-request;parsing;weather;noaa,
815,,2013-06-25 22:29:26,147,78,Real-time gunshot detection data?,usa;foia;real-time;crime,
816,,2013-06-25 23:30:16,906,44,Anyone have a good way of comparing two large and unstructured lists (~2k entries each) for commonalities between them?,tool-request;best-practice,
818,,2013-06-26 02:57:45,2633,887,Open datasets for product reviews,data-request;sentiment-analysis;products,
819,,2013-06-26 13:27:43,58,263,Public access laws used for real-time data?,usa;legal;foia,
823,,2013-06-26 21:06:16,4205,65,Wikipedia table to JSON (or other machine-readable format),tool-request;json;wikipedia;extracting;html,
827,829,2013-06-27 08:39:54,85,886,How to use the DOI system as an individual?,tool-request;doi,
835,864,2013-06-29 12:56:18,567,70,Load data from HTML tables into OpenRefine?,best-practice;parsing;html;openrefine,
840,,2013-06-30 14:20:49,2591,438,Database of English words pronunciation,data-request;language;english;audio,
841,,2013-06-30 15:29:23,292,900,What is a ready to use wordpress CMS template for serving open datasets?,releasing-data,
847,,2013-07-01 14:19:33,174,65,Linking results from the FCC's TV Query API to the FCC's TV Stations Profiles API,usa;maps;geospatial;fcc,
848,849,2013-07-02 16:50:49,39,190,What criteria determine a good name for an open data product?,releasing-data,
850,884,2013-07-02 20:20:30,305,881,Why should I care how a (structured) dataset is licenced?,licensing,
853,855,2013-07-03 00:28:04,26,61,What open data institutes in the US are working with the Open Government Partnership?,usa;government,
857,858,2013-07-03 21:56:14,859,18,Is there a resource to look up the Standard Industrial Classification codes that companies file with the SEC?,api-request;industry,
862,870,2013-07-04 11:54:27,9428,374,Which real-time open data APIs do you know?,api-request;real-time,
875,889,2013-07-08 12:32:54,1913,932,Is there any free weather database that one could use for correlations in business intelligence software?,data-request;weather,
876,,2013-07-09 07:23:35,4934,936,Where can I download those bible verses in JSON or XML or SQL formatted file?,data-request;json;sql;religion;xml,
878,,2013-07-09 15:45:12,2065,193,What sources exist for sales tax information,data-request;usa;api-request;taxes,
888,,2013-07-12 02:06:12,90,284,"Need clarification: if state or city gov releases data in non-open formats (i.e. book, microfiche), *must* they now also release it in CSV format?",usa;government;city;foia;state,
891,893,2013-07-15 15:05:25,84,4,"What is the significance of Census ACS columns with line numbers ending in "".5"" or "".7""?",usa;us-census,
894,899,2013-07-16 12:17:20,1860,961,Where could I find open data about ATM locations (in Paris)?,data-request;geospatial;finance;france,
900,901,2013-07-16 21:49:45,146,33,Who are non-schema.org data standards for?,linked-data;standards,
902,,2013-07-17 13:20:36,128,966,Examples of metadata for non-uniform collections,best-practice;standards;metadata,
903,,2013-07-17 19:42:10,2297,84,"How many software developers are there in the world, per country?",data-request;economics;programming,
910,,2013-07-19 21:42:40,247,981,Programatically request recent close prices for a list of stock tickers,data-request;real-time,
912,,2013-07-21 15:14:57,2403,986,UK supermarket product nutrition,data-request;food;barcodes;uk,
913,,2013-07-21 16:07:41,643,986,"Examples of scraping from ""real-world"" data sources using OCR, etc?",data-request;geospatial;web-crawling;crowdsourcing;unstructured-data,
917,920,2013-07-22 09:13:51,37,551,Where are the concentrations of digital companies in the UK?,data-request;uk,
919,,2013-07-22 22:07:48,64,65,Accessing CATO Deep Bills with Ruby,usa;legal,
921,922,2013-07-22 23:31:09,1941,43,How and where can I get data on US census block data by city and state?,data-request;usa;us-census,
924,,2013-07-23 14:42:27,139,999,Metropolitan Railway Datasets,data-request;transportation;public-transport,
925,,2013-07-23 15:19:18,89,1000,How to flag incorrect links to data on data.gov?,usa;data.gov;education,
929,931,2013-07-24 19:52:16,3542,61,Is there a tool to match zip codes to cities?,usa;tool-request;postal-code;geocoding,
930,,2013-07-24 20:29:06,1103,1009,Raw Data Feed for TV Listings,data-request;media,
932,934,2013-07-24 20:47:15,109,190,"Is ""open"" data free as in speech, free as in beer, both, or something else?",open-definition,
938,,2013-07-26 03:03:36,100,,Weed out inaccurate information from 2 million records,data-request;tool-request;internet;geocoding,Raymond Machira
943,,2013-07-28 15:19:34,495,627,Where can I find data sets for machine monitoring?,data-request;time-series,
947,,2013-07-30 18:20:39,31,,U.S. Supreme Court record items,data-request;government,user1041
949,,2013-07-31 04:27:05,399,1043,A hierarchy of all sellable products and services,data-request;products,
955,,2013-08-02 01:58:50,53,1049,"Solid Waste Production, Globally? Spatially Resolved?",data-request;government;ngo,
956,,2013-08-02 05:45:58,56,1054,Open Data for having transparency of expenditures in running of an Orphanage?,uses-of-open-data;nonprofit,
958,960,2013-08-05 15:29:37,208,1061,Crawling user data from different applications,web-crawling,
961,1002,2013-08-06 03:21:49,45,1071,What cities provide open data on rental building bylaw infractions?,data-request;government;city,
962,968,2013-08-06 09:18:07,128,754,Find reusable images of city X with width>2100 pixels,data-request;city;images;creative-commons,
963,,2013-08-06 10:03:57,85,1073,Individual bicycle data within a bike hire scheme,api-request;public-transport,
964,,2013-08-06 12:55:01,195,1075,Source of open trend data,data-request;best-practice;social-media;trends,
965,,2013-08-06 19:00:00,602,1079,Voter Registration data in one place?,data-request;usa;state,
966,,2013-08-06 19:18:20,751,1080,Are there public transport data for Germany freely available?,data-request;germany;public-transport,
970,,2013-08-07 08:06:24,646,1091,I need a KML file for Northern Ireland BT postcodes,data-request;postal-code;geospatial;uk;kml,
971,,2013-08-07 12:06:36,1544,1094,Postal codes and city districts worldwide for download,data-request;postal-code;district,
972,,2013-08-07 16:37:30,2868,24,"What is the difference between US Census definitions of ""Urbanized Areas"" and ""Urban Clusters""?",usa;us-census,
978,,2013-08-08 07:54:24,5361,1061,"Twitter crawlers for tweets, retweets and social network",tool-request;web-crawling;social-media,
980,,2013-08-08 14:47:28,179,190,Persistent publishing of data. My nations DataCite does not cover my field; alternatives?,releasing-data;doi,
981,,2013-08-08 17:47:52,196,790,Systematic bias in NCDC GSOD climate dataset?,weather;analysis;noaa,
983,,2013-08-09 01:58:46,94,263,Recent high spatial resolution images of the Tasman Sea,data-request;images;aerial-photography;sea;australia,
984,,2013-08-08 19:52:16,86,,Where can I find the training logs of (as many as possible) athletes?,data-request;sports,Mephisto
995,,2013-08-11 16:08:07,111,1052,"Where can I find a longitudinal survey that includes sociographic data, including religion affiliation, over a long period?",data-request;geospatial;demographics,
998,1000,2013-08-12 16:13:05,80,215,Chicago Traffic-Related Fatalities,data-request;usa;transportation;medical,
1001,,2013-08-12 18:57:55,175,1132,"Statistics of US/Europe Businesses, Advertising Agencies Specifically",data-request;companies,
1007,,2013-08-13 08:07:33,34047,1128,Are there any open datasets for soccer statistics?,data-request;api-request;sports,
1008,,2013-08-13 21:03:27,218,1124,Realtime Data - Why and Who?,uses-of-open-data;real-time,
1012,1023,2013-08-14 15:24:42,2583,146,What's the best way to host map tiles?,releasing-data;standards;data-format;geospatial;maps,
1013,,2013-08-14 15:44:17,130,1071,"Besides Vancouver and Chicago, what cities have open data on rental buildings bylaw infractions?",data-request;government;city,
1022,1024,2013-08-15 12:47:05,863,1148,How can I get the Wikidata inter-language links?,wikidata,
1025,,2013-08-15 23:12:24,166,1156,"The Healthplan finder API stopped responding, where can I get support or more information?",healthcare-finder-api,
1042,,2013-08-22 01:18:14,136,1188,Open Data Standard for Stack Exchange?,standards,
1045,,2013-08-22 21:42:35,133,127,Is data scraped from Govt agencies and in public domain considered open data?,licensing,
1046,1050,2013-08-23 14:15:19,331,1193,GitHub license for code written by US Government Employee,usa;government;licensing;federal;github,
1051,,2013-08-24 17:00:31,99,1200,Survey of illness and symptom data,data-request;usa;api-request;healthcare,
1053,1055,2013-08-25 06:57:14,117,849,What is the best way to get airline schedule data from pdf files,extracting;pdf,
1054,1056,2013-08-25 09:44:14,5621,849,Obtaining ADSB Mode-S Data Feeds for Aircraft from the FAA,data-request;real-time;federal,
1058,,2013-08-26 16:32:59,269,1207,CKAN API questions,api;data.gov;ckan,
1059,,2013-08-27 07:36:18,530,404,Job satisfaction data,data-request;business,
1064,1065,2013-08-28 10:54:02,2987,1175,API for sun radiation / illuminance data?,weather,
1068,,2013-08-30 19:32:33,297,1229,What are your responses when people tell you they can't open data?,government;releasing-data;city,
1069,,2013-08-30 21:21:23,42,33,What do the permit types in Chicago's Building Permit Data mean?,documentation;chicago,
1072,,2013-09-02 06:34:38,211,1239,Is there Open Data on car engine efficiency?,data-request;transportation,
1073,,2013-09-02 19:24:04,39873,1052,Where to get IMDb datasets,data-request;economics;film,
1075,1076,2013-09-04 09:31:53,2549,1139,Shaded KML file for US Zip Codes? Doesn't have to be perfect,data-request;tool-request;maps;postal-code;kml,
1079,,2013-09-05 21:13:36,210,1251,Content-driven API or RSS feed,api-request,
1081,,2013-09-07 03:16:11,56,33,How should I respond if a government official says he won't release data because no one cares about the data?,social-process,
1082,1087,2013-09-07 03:22:13,115,33,How should I respond if a government official says she won't release data because she doesn't think it will be useful?,social-process,
1084,1085,2013-09-08 00:52:42,1182,1139,How do I Get that Juicy Economic Data from BLS.gov (Bureau of Labor Statistics) into Zip Code Format?,data-request;usa;postal-code,
1089,1094,2013-09-09 22:20:40,64,1229,How do you respond when government cites costs for not releasing data?,government;releasing-data;city,
1090,1095,2013-09-09 22:32:55,64,1229,How do you respond when government cites time concerns for not releasing data?,government;releasing-data;city,
1091,1093,2013-09-09 22:40:39,75,1229,"How do you respond when government says it should be selling its data, not opening it?",government;releasing-data;city,
