Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastEditorUserId,LastEditDate,LastActivityDate,CommentCount,FavoriteCount,ParentId,OwnerDisplayName
148,2,,1368076217,6,,206,,,2013-05-09 15:10:17,0,,41,
149,2,,1368077711,4,,208,,,2013-05-09 15:35:11,0,,145,
151,2,,1368078549,2,,183,,,2013-05-09 15:49:09,0,,146,
153,2,,1368079774,12,,70,,,2013-05-09 16:09:34,0,,115,
155,2,,1368081085,4,,222,,,2013-05-09 16:31:25,1,,143,
156,2,,1368082490,2,,225,,,2013-05-09 16:54:50,0,,29,
161,2,,1368084393,5,,117,,,2013-05-09 17:26:33,2,,133,
162,2,,1368087031,1,,215,,,2013-05-09 18:10:31,1,,157,
163,2,,1368088345,1,,228,,,2013-05-09 18:32:25,2,,143,
164,2,,1368090379,6,,130,,,2013-05-09 19:06:19,0,,7,
166,2,,1368092965,11,,215,215,2013-05-09 20:00:31,2013-05-09 20:00:31,0,,165,
168,2,,1368095051,7,,231,,,2013-05-09 20:24:11,0,,7,
169,2,,1368095232,1,,43,43,2014-03-05 00:40:08,2014-03-05 00:40:08,0,,145,
170,2,,1368096234,2,,231,,,2013-05-09 20:43:54,0,,3,
172,2,,1368096566,6,,231,,,2013-05-09 20:49:26,0,,9,
173,2,,1368096754,6,,41,,,2013-05-09 20:52:34,1,,167,
175,2,,1368099693,4,,75,,,2013-05-09 21:41:33,0,,41,
178,2,,1368112794,5,,237,,,2013-05-10 01:19:54,1,,157,
179,2,,1368113720,2,,237,,,2013-05-10 01:35:20,0,,29,
180,2,,1368118214,3,,33,3840,2015-07-10 14:54:27,2015-07-10 14:54:27,0,,154,
181,2,,1368118359,4,,156,,,2013-05-10 02:52:39,4,,174,
182,2,,1368123127,3,,160,,,2013-05-10 04:12:07,0,,143,
183,2,,1368123205,9,,156,156,2013-05-12 23:06:12,2013-05-12 23:06:12,0,,115,
184,2,,1368126124,2,,133,-1,2017-04-13 12:57:30,2013-05-10 05:02:04,0,,171,
185,2,,1368133721,2,,215,215,2013-05-10 19:05:45,2013-05-10 19:05:45,3,,106,
187,2,,1368152709,6,,169,,,2013-05-10 12:25:09,0,,186,
189,2,,1368158474,2,,237,,,2013-05-10 14:01:14,0,,7,
190,2,,1368159904,6,,33,,,2013-05-10 14:25:04,0,,41,
191,2,,1368161653,5,,243,,,2013-05-10 14:54:13,0,,1,
192,2,,1368163590,9,,244,244,2013-06-22 00:35:08,2013-06-22 00:35:08,0,,6,
193,2,,1368163813,9,,244,,,2013-05-10 15:30:13,0,,23,
194,2,,1368164149,7,,244,8614,2015-10-18 20:54:05,2015-10-18 20:54:05,0,,188,
196,2,,1368171128,10,,102,382,2013-05-21 22:36:20,2013-05-21 22:36:20,2,,195,
197,2,,1368176347,7,,204,204,2014-10-25 15:09:25,2014-10-25 15:09:25,3,,106,
198,2,,1368180869,1,,18,,,2013-05-10 20:14:29,0,,174,
202,2,,1368182202,3,,250,,,2013-05-10 20:36:42,0,,1,
203,2,,1368182420,6,,250,,,2013-05-10 20:40:20,0,,9,
204,2,,1368184896,4,,46,,,2013-05-10 21:21:36,2,,200,
237,2,,1368187414,15,,18,,,2013-05-10 22:03:34,0,,171,
242,2,,1368197092,3,,152,,,2013-05-11 00:44:52,1,,158,
243,2,,1368198559,6,,152,,,2013-05-11 01:09:19,0,,199,
244,2,,1368206739,4,,142,-1,2014-02-06 07:07:41,2014-02-06 07:07:41,3,,199,
247,2,,1368237566,5,,244,244,2013-05-23 00:11:58,2013-05-23 00:11:58,1,,126,
250,2,,1368257228,3,,152,,,2013-05-11 17:27:08,0,,249,
251,2,,1368261031,5,,156,,,2013-05-11 18:30:31,0,,249,
252,2,,1368264251,3,,237,237,2013-05-14 00:13:50,2013-05-14 00:13:50,3,,95,
253,2,,1368282383,3,,33,33,2013-05-12 00:39:05,2013-05-12 00:39:05,1,,157,
255,2,,1368293351,8,,256,-1,2017-04-13 12:33:47,2013-05-12 03:56:43,3,,195,
256,2,,1368294284,3,,256,,,2013-05-12 03:44:44,0,,254,
257,2,,1368302295,7,,261,,,2013-05-12 05:58:15,1,,157,
260,2,,1368307685,1,,266,,,2013-05-12 07:28:05,0,,258,
262,2,,1368308254,1,,266,,,2013-05-12 07:37:34,1,,259,
265,2,,1368317876,1,,183,,,2013-05-12 10:17:56,1,,261,
267,2,,1368326935,3,,152,,,2013-05-12 12:48:55,2,,266,
268,2,,1368329029,2,,181,,,2013-05-12 13:23:49,1,,259,
270,2,,1368329334,4,,181,584,2013-05-24 16:07:47,2013-05-24 16:07:47,2,,266,
273,2,,1368330825,83,,70,70,2016-02-01 19:54:36,2016-02-01 19:54:36,3,,266,
274,2,,1368332629,34,,70,70,2014-12-17 09:38:22,2014-12-17 09:38:22,3,,269,
275,2,,1368335047,8,,276,,,2013-05-12 15:04:07,0,,272,
276,2,,1368335067,8,,70,-1,2017-04-13 12:57:30,2013-05-12 15:13:59,0,,258,
286,2,,1368343617,6,,18,,,2013-05-12 17:26:57,1,,285,
291,2,,1368346001,2,,18,18,2013-05-13 16:46:33,2013-05-13 16:46:33,3,,271,
292,2,,1368350099,2,,26,,,2013-05-12 19:14:59,0,,259,
293,2,,1368350955,7,,26,,,2013-05-12 19:29:15,3,,283,
294,2,,1368351042,33,,283,207,2013-05-13 15:13:35,2013-05-13 15:13:35,0,,266,
299,2,,1368351970,12,,276,276,2013-05-16 03:49:50,2013-05-16 03:49:50,1,,298,
300,2,,1368352506,5,,26,90,2017-02-12 17:27:49,2017-02-12 17:27:49,0,,78,
301,2,,1368353223,3,,244,,,2013-05-12 20:07:03,2,,296,
303,2,,1368353792,13,,276,,,2013-05-12 20:16:32,1,,302,
304,2,,1368355223,6,,244,,,2013-05-12 20:40:23,0,,297,
305,2,,1368362737,1,,152,,,2013-05-12 22:45:37,1,,271,
307,2,,1368368680,6,,152,,,2013-05-13 00:24:40,3,,283,
308,2,,1368368969,9,,134,,,2013-05-13 00:29:29,2,,158,
309,2,,1368372150,2,,263,,,2013-05-13 01:22:30,0,,298,
310,2,,1368373981,2,,263,,,2013-05-13 01:53:01,0,,297,
312,2,,1368381962,9,,152,-1,2017-04-13 12:57:30,2013-05-13 04:11:20,0,,311,
314,2,,1368383529,3,,183,,,2013-05-13 04:32:09,1,,306,
315,2,,1368383926,2,,288,,,2013-05-13 04:38:46,0,,158,
316,2,,1368383932,4,,183,,,2013-05-13 04:38:52,0,,284,
317,2,,1368394684,9,,152,-1,2017-04-13 12:33:47,2013-05-13 07:38:04,3,,313,
318,2,,1368397597,19,,122,,,2013-05-13 08:26:37,1,,92,
319,2,,1368405053,19,,207,,,2013-05-13 10:30:53,5,,157,
320,2,,1368405485,8,,207,,,2013-05-13 10:38:05,2,,200,
321,2,,1368406153,6,,207,386,2013-05-22 17:08:25,2013-05-22 17:08:25,0,,115,
324,2,,1368412762,3,,263,,,2013-05-13 12:39:22,0,,92,
325,2,,1368412933,5,,208,,,2013-05-13 12:42:13,0,,323,
326,2,,1368418590,10,,244,,,2013-05-13 14:16:30,2,,323,
327,2,,1368419093,1,,244,,,2013-05-13 14:24:53,0,,295,
328,2,,1368420256,1,,244,244,2013-05-15 18:34:05,2013-05-15 18:34:05,2,,306,
329,2,,1368422098,1,,208,-1,2017-04-13 12:57:30,2013-05-13 15:14:58,0,,146,
330,2,,1368427349,7,,159,1511,2016-09-06 20:09:49,2016-09-06 20:09:49,1,,302,
331,2,,1368430217,3,,233,,,2013-05-13 17:30:17,0,,23,
332,2,,1368441812,2,,178,178,2013-05-13 21:29:01,2013-05-13 21:29:01,1,,322,
333,2,,1368455014,4,,244,70,2013-05-14 08:37:03,2013-05-14 08:37:03,1,,112,
336,2,,1368461896,8,,152,152,2013-05-14 02:36:57,2013-05-14 02:36:57,5,,335,
340,2,,1368493642,5,,244,,,2013-05-14 11:07:22,2,,339,
341,2,,1368500397,6,,263,263,2013-05-14 13:08:17,2013-05-14 13:08:17,0,,339,
343,2,,1368509536,3,,298,,,2013-05-14 15:32:16,0,,1,
344,2,,1368510636,5,,207,,,2013-05-14 15:50:36,3,,271,
345,2,,1368512154,4,,298,237,2013-05-19 17:03:11,2013-05-19 17:03:11,4,,334,
347,2,,1368520168,14,,46,,,2013-05-14 18:29:28,2,,342,
348,2,,1368522424,6,,244,,,2013-05-14 19:07:04,0,,342,
351,2,,1368547513,2,,263,,,2013-05-15 02:05:13,0,,342,
352,2,,1368550104,1,,244,,,2013-05-15 02:48:24,0,,346,
353,2,,1368550335,7,,244,,,2013-05-15 02:52:15,0,,258,
355,2,,1368562522,1,,33,33,2013-05-15 17:15:36,2013-05-15 17:15:36,0,,41,
356,2,,1368564188,1,,183,,,2013-05-15 06:43:08,1,,346,
357,2,,1368576323,5,,207,,,2013-05-15 10:05:23,0,,258,
359,2,,1368584253,1,,263,,,2013-05-15 12:17:33,0,,358,
360,2,,1368587315,10,,207,207,2013-12-21 18:00:59,2013-12-21 18:00:59,3,,127,
361,2,,1368588316,5,,156,,,2013-05-15 13:25:16,0,,127,
362,2,,1368589730,2,,18,,,2013-05-15 13:48:50,0,,358,
363,2,,1368593409,5,,244,244,2014-08-05 12:11:53,2014-08-05 12:11:53,5,,358,
366,2,,1368599610,5,,208,,,2013-05-15 16:33:30,0,,365,
370,2,,1368607279,3,,244,,,2013-05-15 18:41:19,0,,365,
371,2,,1368609202,6,,316,,,2013-05-15 19:13:22,0,,369,
372,2,,1368609719,7,,156,,,2013-05-15 19:21:59,1,,369,
373,2,,1368614678,6,,315,,,2013-05-15 20:44:38,0,,78,
375,2,,1368618273,10,,18,1677,2013-12-24 19:34:23,2013-12-24 19:34:23,0,,374,
377,2,,1368622331,4,,33,,,2013-05-15 22:52:11,0,,171,
379,2,,1368626532,18,,32,389,2015-09-22 12:40:41,2015-09-22 12:40:41,0,,365,
380,2,,1368628917,18,,244,12764,2016-10-07 17:13:38,2016-10-07 17:13:38,2,,378,
382,2,,1368633388,3,,244,,,2013-05-16 01:56:28,0,,364,
385,2,,1368635493,2,,175,175,2013-05-16 04:38:40,2013-05-16 04:38:40,0,,378,
386,2,,1368635564,1,,175,175,2013-05-16 04:41:53,2013-05-16 04:41:53,0,,171,
387,2,,1368637352,3,,175,175,2013-05-16 04:41:34,2013-05-16 04:41:34,0,,78,
388,2,,1368637936,5,,175,175,2013-05-16 04:41:13,2013-05-16 04:41:13,0,,42,
389,2,,1368638549,3,,175,175,2013-05-16 04:40:56,2013-05-16 04:40:56,0,,342,
391,2,,1368639110,2,,175,175,2013-05-16 04:40:36,2013-05-16 04:40:36,0,,335,
392,2,,1368639176,0,,175,175,2013-05-16 04:40:23,2013-05-16 04:40:23,0,,322,
393,2,,1368639341,1,,175,175,2013-05-16 04:40:14,2013-05-16 04:40:14,0,,158,
394,2,,1368639722,3,,175,175,2013-05-16 04:38:25,2013-05-16 04:38:25,0,,298,
395,2,,1368640425,2,,175,175,2013-05-16 04:39:52,2013-05-16 04:39:52,0,,195,
396,2,,1368640627,6,,237,,,2013-05-16 03:57:07,0,,133,
397,2,,1368640883,2,,175,175,2013-05-16 04:39:06,2013-05-16 04:39:06,0,,24,
398,2,,1368641528,3,,175,175,2013-05-16 04:38:53,2013-05-16 04:38:53,0,,1,
404,2,,1368678175,8,,70,,,2013-05-16 14:22:55,1,,272,
405,2,,1368678245,10,,156,,,2013-05-16 14:24:05,1,,403,
406,2,,1368686518,5,,160,,,2013-05-16 16:41:58,2,,311,
407,2,,1368687659,4,,45,,,2013-05-16 17:00:59,0,,133,
408,2,,1368687845,3,,263,,,2013-05-16 17:04:05,3,,402,
409,2,,1368688456,16,,244,,,2013-05-16 17:14:16,0,,381,
410,2,,1368688526,2,,237,,,2013-05-16 17:15:26,1,,402,
411,2,,1368689219,5,,244,244,2013-05-16 17:34:09,2013-05-16 17:34:09,1,,390,
413,2,,1368702082,1,,117,,,2013-05-16 21:01:22,3,,157,
414,2,,1368715641,8,,233,,,2013-05-17 00:47:21,0,,42,
418,2,,1368723596,7,,263,263,2013-05-17 13:29:48,2013-05-17 13:29:48,1,,415,
420,2,,1368770674,2,,33,,,2013-05-17 16:04:34,1,,419,
421,2,,1368773311,1,,322,70,2013-05-17 17:10:17,2013-05-17 17:10:17,0,,127,
423,2,,1368778899,3,,45,,,2013-05-17 18:21:39,2,,422,
426,2,,1368780938,3,,56,,,2013-05-17 18:55:38,0,,412,
427,2,,1368783674,7,,18,,,2013-05-17 19:41:14,0,,412,
428,2,,1368787725,5,,263,,,2013-05-17 20:48:45,1,,422,
429,2,,1368788224,20,,324,,,2013-05-17 20:57:04,0,,115,
430,2,,1368789341,5,,324,,,2013-05-17 21:15:41,1,,143,
431,2,,1368796705,6,,237,,,2013-05-17 23:18:25,0,,424,
432,2,,1368798215,4,,237,237,2013-05-18 21:40:13,2013-05-18 21:40:13,3,,422,
434,2,,1368818855,4,,41,,,2013-05-18 05:27:35,1,,433,
435,2,,1368835954,1,,149,,,2013-05-18 10:12:34,0,,433,
436,2,,1368838288,6,,263,,,2013-05-18 10:51:28,1,,433,
437,2,,1368859027,11,,233,-1,2017-04-13 12:57:30,2013-05-18 16:37:07,1,,422,
438,2,,1368861561,2,,322,-1,2017-04-13 12:57:30,2013-05-18 17:19:21,1,,402,
440,2,,1368938210,1,,233,,,2013-05-19 14:36:50,1,,439,
441,2,,1369044041,4,,244,,,2013-05-20 20:00:41,1,,439,
444,2,,1369065768,1,,41,41,2013-05-21 02:07:56,2013-05-21 02:07:56,1,,443,
445,2,,1369088615,2,,278,,,2013-05-21 08:23:35,0,,442,
446,2,,1369099328,1,,333,,,2013-05-21 11:22:08,0,,425,
447,2,,1369111745,2,,18,18,2013-05-21 22:15:00,2013-05-21 22:15:00,4,,442,
448,2,,1369112307,2,,18,,,2013-05-21 14:58:27,0,,439,
451,2,,1369126936,3,,244,244,2013-05-21 21:26:11,2013-05-21 21:26:11,2,,449,
452,2,,1369127050,0,,41,,,2013-05-21 19:04:10,2,,450,
454,2,,1369129146,2,,336,,,2013-05-21 19:39:06,0,,157,
455,2,,1369129199,4,,17,17,2013-05-22 18:25:23,2013-05-22 18:25:23,1,,453,
456,2,,1369129251,3,,48,,,2013-05-21 19:40:51,0,,453,
457,2,,1369129405,2,,336,,,2013-05-21 19:43:25,1,,433,
458,2,,1369129462,7,,244,,,2013-05-21 19:44:22,0,,453,
459,2,,1369129562,5,,342,,,2013-05-21 19:46:02,0,,171,
461,2,,1369130645,1,,125,,,2013-05-21 20:04:05,0,,171,
463,2,,1369130709,4,,336,,,2013-05-21 20:05:09,0,,311,
464,2,,1369130723,4,,33,,,2013-05-21 20:05:23,0,,453,
465,2,,1369132768,1,,362,,,2013-05-21 20:39:28,1,,115,
466,2,,1369133360,2,,346,346,2013-05-21 22:24:50,2013-05-21 22:24:50,0,,442,
468,2,,1369136234,6,,382,33,2013-05-22 13:26:38,2013-05-22 13:26:38,3,,195,
469,2,,1369136287,0,,127,,,2013-05-21 21:38:07,1,,112,
470,2,,1369136396,2,,108,108,2013-05-21 22:04:43,2013-05-21 22:04:43,0,,467,
471,2,,1369136727,2,,387,33,2013-05-22 13:28:42,2013-05-22 13:28:42,0,,29,
473,2,,1369136890,3,,44,,,2013-05-21 21:48:10,0,,442,
474,2,,1369137115,3,,9,,,2013-05-21 21:51:55,0,,29,
475,2,,1369137283,7,,379,,,2013-05-21 21:54:43,0,,29,
476,2,,1369137415,3,,44,,,2013-05-21 21:56:55,0,,453,
479,2,,1369137892,2,,44,,,2013-05-21 22:04:52,0,,460,
480,2,,1369138217,2,,386,,,2013-05-21 22:10:17,4,,472,
481,2,,1369139472,3,,389,,,2013-05-21 22:31:12,0,,365,
482,2,,1369139736,2,,389,,,2013-05-21 22:35:36,0,,297,
483,2,,1369140001,10,,401,,,2013-05-21 22:40:01,2,,478,
484,2,,1369140818,5,,402,,,2013-05-21 22:53:38,0,,478,
485,2,,1369141265,6,,389,90,2017-02-27 14:09:40,2017-02-27 14:09:40,0,,477,
487,2,,1369142152,1,,329,,,2013-05-21 23:15:52,0,,453,
488,2,,1369142388,2,,329,,,2013-05-21 23:19:48,0,,453,
489,2,,1369142667,2,,402,,,2013-05-21 23:24:27,0,,258,
490,2,,1369142908,4,,382,,,2013-05-21 23:28:28,0,,365,
491,2,,1369143006,6,,288,,,2013-05-21 23:30:06,0,,477,
493,2,,1369144871,5,,284,,,2013-05-22 00:01:11,2,,412,
494,2,,1369145085,2,,177,,,2013-05-22 00:04:45,0,,365,
495,2,,1369145494,6,,177,,,2013-05-22 00:11:34,1,,272,
496,2,,1369145673,1,,284,,,2013-05-22 00:14:33,2,,402,
499,2,,1369149372,4,,,,2013-05-22 11:30:28,2013-05-22 11:30:28,0,,443,user135
500,2,,1369150791,1,,416,,,2013-05-22 01:39:51,0,,424,
501,2,,1369151782,4,,263,,,2013-05-22 01:56:22,1,,497,
502,2,,1369160150,1,,426,462,2013-05-22 13:26:25,2013-05-22 13:26:25,1,,492,
504,2,,1369167504,3,,386,,,2013-05-22 06:18:24,1,,462,
506,2,,1369172714,5,,441,,,2013-05-22 07:45:14,0,,462,
507,2,,1369173013,2,,37,-1,2017-04-13 12:57:30,2013-05-22 07:50:13,8,,505,
508,2,,1369173390,3,,441,,,2013-05-22 07:56:30,0,,424,
509,2,,1369174135,2,,441,,,2013-05-22 08:08:55,0,,115,
510,2,,1369174719,11,,441,,,2013-05-22 08:18:39,0,,157,
512,2,,1369184008,13,,292,292,2015-03-26 12:48:57,2015-03-26 12:48:57,0,,511,
514,2,,1369184372,6,,102,,,2013-05-22 10:59:32,0,,511,
516,2,,1369186585,7,,462,,,2013-05-22 11:36:25,2,,505,
518,2,,1369187417,32,,292,244,2014-11-24 16:10:01,2014-11-24 16:10:01,4,,517,
519,2,,1369188128,11,,462,,,2013-05-22 12:02:08,2,,107,
520,2,,1369192157,1,,334,,,2013-05-22 13:09:17,3,,513,
521,2,,1369194288,4,,263,,,2013-05-22 13:44:48,1,,513,
523,2,,1369198109,4,,263,,,2013-05-22 14:48:29,0,,522,
524,2,,1369199782,9,,233,,,2013-05-22 15:16:22,3,,517,
528,2,,1369200675,7,,340,,,2013-05-22 15:31:15,2,,527,
529,2,,1369202002,18,,379,,,2013-05-22 15:53:22,4,,522,
530,2,,1369202026,14,,484,462,2013-05-22 19:06:39,2013-05-22 19:06:39,2,,527,
531,2,,1369202473,7,,156,,,2013-05-22 16:01:13,1,,515,
532,2,,1369202577,6,,402,,,2013-05-22 16:02:57,0,,515,
533,2,,1369203134,1,,485,,,2013-05-22 16:12:14,0,,416,
535,2,,1369205069,5,,102,,,2013-05-22 16:44:29,0,,534,
536,2,,1369205715,9,,485,102,2013-05-23 16:00:29,2013-05-23 16:00:29,1,,511,
537,2,,1369207772,3,,492,,,2013-05-22 17:29:32,0,,417,
538,2,,1369209040,3,,492,,,2013-05-22 17:50:40,0,,416,
539,2,,1369209054,0,,228,,,2013-05-22 17:50:54,5,,402,
540,2,,1369219269,8,,502,502,2013-05-24 18:27:37,2013-05-24 18:27:37,3,,462,
541,2,,1369220390,1,,500,,,2013-05-22 20:59:50,0,,295,
543,2,,1369221314,10,,389,-1,2017-05-23 12:37:20,2013-05-22 21:15:14,1,,542,
544,2,,1369221738,3,,156,90,2017-05-10 21:06:09,2017-05-10 21:06:09,0,,542,
545,2,,1369231676,1,,507,,,2013-05-23 00:07:56,0,,439,
546,2,,1369232046,6,,244,-1,2017-04-13 12:57:30,2013-05-23 00:14:06,0,,503,
547,2,,1369233408,7,,507,,,2013-05-23 00:36:48,0,,381,
548,2,,1369239042,1,,244,,,2013-05-23 02:10:42,0,,486,
549,2,,1369243759,0,,513,,,2013-05-23 03:29:19,1,,93,
550,2,,1369244582,11,,382,90,2017-05-10 21:04:16,2017-05-10 21:04:16,0,,542,
551,2,,1369245497,3,,382,,,2013-05-23 03:58:17,1,,402,
552,2,,1369248359,6,,316,316,2013-05-23 04:51:49,2013-05-23 04:51:49,0,,542,
555,2,,1369267793,5,,458,-1,2017-04-13 12:57:30,2013-05-23 10:09:53,1,,497,
557,2,,1369271212,5,,511,,,2013-05-23 11:06:52,0,,258,
558,2,,1369273196,5,,292,292,2013-05-23 12:04:09,2013-05-23 12:04:09,5,,556,
559,2,,1369275095,3,,178,,,2013-05-23 12:11:35,1,,553,
563,2,,1369282997,6,,509,,,2013-05-23 14:23:17,0,,450,
564,2,,1369283301,6,,509,-1,2017-05-23 12:37:20,2013-05-23 14:28:21,1,,562,
566,2,,1369286952,20,,545,545,2013-05-24 23:27:45,2013-05-24 23:27:45,0,,515,
567,2,,1369287783,12,,487,-1,2015-09-21 00:26:00,2015-09-21 00:26:00,1,,562,
568,2,,1369287957,4,,550,,,2013-05-23 15:45:57,0,,478,
569,2,,1369288563,6,,550,580,2013-05-24 08:52:27,2013-05-24 08:52:27,0,,26,
571,2,,1369288971,3,,550,,,2013-05-23 16:02:51,1,,472,
572,2,,1369289096,1,,551,,,2013-05-23 16:04:56,0,,554,
573,2,,1369289728,3,,550,,,2013-05-23 16:15:28,1,,497,
575,2,,1369290548,5,,382,,,2013-05-23 16:29:08,1,,554,
577,2,,1369291300,4,,550,,,2013-05-23 16:41:40,0,,576,
578,2,,1369291978,4,,555,,,2013-05-23 16:52:58,0,,283,
579,2,,1369292070,1,,292,,,2013-05-23 16:54:30,0,,576,
580,2,,1369293092,6,,,,2013-05-23 20:33:57,2013-05-23 20:33:57,0,,574,user135
